x,y,cluster
26,33,3
26,46,3
27,32,3
27,33,3
27,34,3
28,33,3
28,43,3
30,35,3
30,36,3
30,37,3
30,38,3
30,39,3
31,32,3
31,33,3
31,34,3
31,35,3
31,36,3
31,37,3
31,38,3
31,39,3
31,40,3
32,32,3
32,33,3
32,34,3
32,35,3
32,36,3
32,37,3
32,38,3
32,39,3
32,40,3
32,41,3
32,42,3
33,31,3
33,32,3
33,33,3
33,34,3
33,35,3
33,36,3
33,37,3
33,38,3
33,39,3
33,40,3
33,41,3
33,42,3
33,43,3
34,31,3
34,32,3
34,33,3
34,34,3
34,35,3
34,36,3
34,37,3
34,38,3
34,39,3
34,40,3
34,41,3
34,42,3
34,43,3
35,31,3
35,32,3
35,33,3
35,34,3
35,35,3
35,36,3
35,37,3
35,38,3
35,39,3
35,40,3
35,41,3
35,42,3
35,43,3
36,31,3
36,32,3
36,33,3
36,34,3
36,35,3
36,36,3
36,37,3
36,38,3
36,39,3
36,40,3
36,41,3
36,42,3
36,43,3
37,31,3
37,32,3
37,33,3
37,34,3
37,35,3
37,36,3
37,37,3
37,38,3
37,39,3
37,40,3
37,41,3
37,42,3
37,43,3
38,31,3
38,32,3
38,33,3
38,34,3
38,35,3
38,36,3
38,37,3
38,38,3
38,39,3
38,40,3
38,41,3
38,42,3
38,43,3
39,31,3
39,32,3
39,33,3
39,34,3
39,35,3
39,36,3
39,37,3
39,38,3
39,39,3
39,40,3
39,41,3
39,42,3
39,43,3
40,31,3
40,32,3
40,33,3
40,34,3
40,35,3
40,36,3
40,37,3
40,38,3
40,39,3
40,40,3
40,41,3
40,42,3
40,43,3
41,32,3
41,33,3
41,34,3
41,35,3
41,36,3
41,37,3
41,38,3
41,39,3
41,40,3
41,41,3
41,42,3
42,32,3
42,33,3
42,34,3
42,35,3
42,36,3
42,37,3
42,38,3
42,39,3
42,40,3
42,41,3
43,35,3
43,36,3
43,37,3
43,38,3
